pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,ElbowLa,ElbowLb,ElbowLc,ElbowAng,EA DEG,ElbowLa (x),Midline (1-2),Pt5 - Pt1,HPR Comp Ang,HPR DEG,Pt3 - Pt5,Pt2 - Pt3,Pt5 - Pt2,HPR Comp Ang,HED DEG
21.228605,4.808067,14.219068,21.844217,4.789321,14.518777,21.836191,4.766865,13.587729,22.14672,2.037804,12.138669,23.11029,1.311878,11.07444,21.319542,-0.249839,11.663391,1.60873213,2.447979099,2.478592971,1.256197608,71.97482117,3.669659141,0.684692354,3.664617811,1.469976758,95.77653578,4.272418141,0.931318769,4.894493558,2.223815116,52.58477946
21.203922,4.831169,14.245095,21.807038,4.773457,14.568194,21.773593,4.841465,13.532774,22.13152,2.078712,12.114612,23.082574,1.299017,11.090777,21.318491,-0.258639,11.662541,1.600208146,2.421816491,2.5156697,1.296794165,74.30083252,3.703973688,0.68420894,3.671383306,1.430552928,98.03535487,4.302590752,1.037651032,4.915705677,2.108753474,59.1773259
21.18132,4.850692,14.276389,21.832529,4.776275,14.601873,21.779945,4.832524,13.564055,22.118173,2.094528,12.128563,23.049707,1.322936,11.092759,21.328155,-0.280228,11.67398,1.592482255,2.423157847,2.543666685,1.317040588,75.46086715,3.714216384,0.728019915,3.691391331,1.441173228,97.4268565,4.292378344,1.03934121,4.923355696,2.130159521,57.95084974
21.184144,4.917744,14.202661,21.769018,4.841568,14.546042,21.778453,4.851489,13.57606,22.074701,2.122509,12.141159,23.036737,1.34866,11.098214,21.325776,-0.275257,11.670756,1.616196094,2.427405674,2.555670055,1.316620897,75.43682059,3.673503693,0.678224231,3.615202899,1.39225751,100.2295207,4.290633031,0.970032735,4.907945009,2.17623331,55.31101611
21.157561,4.945573,14.229564,21.773123,4.842362,14.589115,21.737326,4.888142,13.587497,22.074963,2.121889,12.139847,23.047898,1.331422,11.108801,21.318792,-0.262048,11.659626,1.623113196,2.415028443,2.546676738,1.31530056,75.36117086,3.70643182,0.712876916,3.648634769,1.393253876,100.1724331,4.335226755,1.002663666,4.943610545,2.133767837,57.74410846
21.140373,4.987022,14.223836,21.760222,4.863177,14.581043,21.741966,4.897873,13.562802,22.062697,2.147187,12.123182,23.026138,1.354684,11.089348,21.318038,-0.253523,11.666911,1.62021366,2.416094862,2.554624974,1.320858567,75.67962124,3.714091718,0.715408711,3.65802196,1.395811799,100.0258749,4.321129827,1.018831952,4.949894656,2.146175941,57.0331765
21.10879,5.060697,14.198171,21.754991,4.899916,14.564356,21.710284,4.966933,13.531449,22.035578,2.171904,12.149921,22.998545,1.427285,11.046219,21.313584,-0.246991,11.657548,1.643143634,2.452756988,2.571917481,1.307072852,74.88975794,3.731449384,0.742743015,3.675047669,1.395004432,100.0721336,4.324982788,1.035078813,4.943324187,2.118147345,58.63909677
21.115218,5.037057,14.202044,21.6791,4.980957,14.499136,21.698542,4.991472,13.538334,22.007755,2.212566,12.143417,22.974991,1.476906,11.070035,21.310905,-0.238608,11.657235,1.62138522,2.461092103,2.594268074,1.323231124,75.81555871,3.665796933,0.637359056,3.642558989,1.447204529,97.08128839,4.294726315,0.960859536,4.902765248,2.17212438,55.54644046
21.09323,5.075927,14.186247,21.673778,5.008295,14.529991,21.665352,5.064689,13.485852,21.985097,2.22929,12.141715,22.945817,1.504103,11.072415,21.308076,-0.228517,11.658373,1.610056394,2.455099677,2.59476245,1.329780626,76.19081757,3.684143729,0.674682086,3.62326211,1.388734662,100.431365,4.301447526,1.045660812,4.922823719,2.112523263,58.96133289
21.06432,5.097712,14.204461,21.627258,5.077326,14.480075,21.646952,5.118398,13.474382,21.99363,2.221199,12.121496,22.912527,1.551859,11.068532,21.30615,-0.228664,11.650783,1.549555071,2.467736908,2.587668487,1.333902235,76.42696834,3.645619569,0.62678726,3.640043929,1.475800294,95.44287174,4.302129085,1.006531331,4.905868242,2.123427888,58.3365439
21.045131,5.137936,14.204346,21.650635,5.063203,14.569467,21.630852,5.163576,13.466585,21.970674,2.271171,12.106278,22.910303,1.524132,11.089826,21.295915,-0.189172,11.648845,1.572941383,2.419537446,2.591878148,1.357602984,77.78492125,3.700630346,0.707070321,3.630303213,1.375505968,101.1893133,4.346784556,1.107440041,4.963156761,2.058556837,62.05338137
21.021341,5.188856,14.158243,21.60538,5.10779,14.501298,21.619451,5.165757,13.496378,21.939912,2.316038,12.099306,22.887932,1.554782,11.12366,21.29071,-0.174112,11.646756,1.558889905,2.411186846,2.612874234,1.381190248,79.13637193,3.612945902,0.677339122,3.56270346,1.402606257,99.63658115,4.320755855,1.006590473,4.902275421,2.094516848,59.99302447
20.992621,5.233063,14.165352,21.611555,5.12077,14.492229,21.564498,5.202978,13.446831,21.888691,2.347872,12.079247,22.870298,1.557101,11.139709,21.286676,-0.167989,11.648066,1.572133178,2.396293176,2.622574248,1.392547781,79.7871106,3.581036762,0.699948476,3.560924947,1.444074987,97.26059797,4.314537174,1.048625354,4.892762726,2.056510646,62.17061948
20.992877,5.280939,14.101445,21.557596,5.202425,14.47198,21.512537,5.278185,13.419252,21.88214,2.343734,12.085503,22.837715,1.543986,11.212526,21.280488,-0.168731,11.639741,1.521449732,2.353904864,2.62167299,1.433192327,82.11587155,3.501820246,0.675428557,3.42772231,1.36434893,101.8285645,4.337497183,1.055450529,4.899817986,2.032693502,63.53524128
20.956316,5.31897,14.085568,21.542984,5.186996,14.507756,21.506226,5.303826,13.461363,21.852211,2.403195,12.049861,22.85293,1.608598,11.148237,21.282413,-0.168584,11.647332,1.563888982,2.423632672,2.664722609,1.409289907,80.7463638,3.605873879,0.722787693,3.496435051,1.318799623,104.4383476,4.359502479,1.052894847,4.908288924,2.018907842,64.32510144
20.925683,5.341908,14.099755,21.483528,5.258856,14.445259,21.452806,5.347605,13.410382,21.825161,2.41023,12.088406,22.82094,1.630341,11.165821,21.282112,-0.165172,11.650242,1.565556052,2.413819018,2.668255117,1.41698708,81.18737934,3.54166408,0.656173802,3.492845232,1.403494084,99.58571239,4.342361768,1.038675498,4.890893037,2.028471734,63.77713079
20.867881,5.368149,14.150757,21.477336,5.290117,14.480054,21.425154,5.382156,13.39969,21.796617,2.470152,12.049051,22.80042,1.671955,11.129586,21.279345,-0.159914,11.648591,1.578022433,2.436961095,2.710200306,1.429417465,81.89958791,3.602247505,0.692727877,3.586388322,1.451518099,96.83413905,4.349593502,1.084277432,4.931199862,2.034899592,63.40884163
20.826368,5.429367,14.097322,21.4521,5.325399,14.460239,21.404528,5.395909,13.408388,21.779372,2.483064,12.063079,22.770762,1.706055,11.127446,21.274744,-0.151681,11.640685,1.569078146,2.439808839,2.715685424,1.434578964,82.19532004,3.584184517,0.72335972,3.54976499,1.421983348,98.52635561,4.337939482,1.054211642,4.920077253,2.057532077,62.11209579
20.787331,5.493688,14.047545,21.368329,5.429726,14.376392,21.361867,5.470256,13.371035,21.742642,2.504279,12.083259,22.71597,1.765337,11.095271,21.268128,-0.146721,11.623859,1.571471592,2.455935163,2.732034571,1.436026012,82.27822976,3.547096176,0.667606939,3.526410379,1.445467721,97.18080014,4.348048595,1.006173632,4.918689029,2.081339142,60.74805141
20.741189,5.601267,13.973801,21.34794,5.442866,14.388692,21.353453,5.491822,13.40697,21.708825,2.543338,12.114221,22.696095,1.769792,11.118316,21.270203,-0.148278,11.629992,1.601531216,2.444171199,2.769776828,1.459797053,83.6402101,3.537355097,0.73503831,3.46055661,1.362038663,101.9609331,4.369375751,0.982941898,4.918010959,2.072269191,61.26772135
20.710246,5.627375,13.979714,21.326387,5.431577,14.445516,21.312631,5.536139,13.399032,21.68652,2.593206,12.073698,22.664901,1.810123,11.132801,21.261406,-0.126918,11.627009,1.567078661,2.44257397,2.789144591,1.486760014,85.18507393,3.572912034,0.77239966,3.453344726,1.307462738,105.0879032,4.361077639,1.05169481,4.908055597,2.017649861,64.39717841
20.679897,5.629896,14.015413,21.259002,5.5483,14.376051,21.254413,5.562675,13.405188,21.64866,2.611156,12.085258,22.639116,1.839908,11.146418,21.278606,-0.146197,11.670268,1.56756088,2.463740927,2.812854818,1.491076484,85.43238946,3.512156598,0.68221871,3.474143261,1.41765737,98.77421588,4.354427178,0.970969415,4.917590929,2.101355247,59.60121311
20.623645,5.691557,14.015359,21.200848,5.625421,14.310675,21.220044,5.626376,13.30484,21.598061,2.652319,12.079319,22.611793,1.845507,11.181662,21.261255,-0.125212,11.628464,1.576193599,2.43049754,2.833970178,1.523751603,87.30453585,3.432417245,0.648363203,3.461585064,1.52150734,92.8240509,4.336225918,1.005835453,4.906981985,2.081520609,60.73765414
20.590045,5.728166,14.001965,21.224796,5.613796,14.456275,21.175202,5.643765,13.414513,21.562319,2.723056,12.043283,22.57229,1.875878,11.198171,21.261649,-0.095751,11.626764,1.565875562,2.405991003,2.865233573,1.566656209,89.76278874,3.525759742,0.780580815,3.43373791,1.341751597,103.1232963,4.371400726,1.042192979,4.9585555,2.073748471,61.18296486
20.551344,5.7571,14.020324,21.146541,5.689405,14.339254,21.115835,5.70682,13.33886,21.519754,2.752837,12.073816,22.515996,1.926713,11.175982,21.273541,-0.066674,11.618441,1.575145986,2.390200018,2.866640806,1.573915727,90.17872846,3.446983717,0.675259812,3.456897293,1.487452738,94.77523589,4.355140661,1.00054557,4.915703493,2.073097628,61.22025539
20.523041,5.800971,13.99526,21.09022,5.755238,14.320348,21.095793,5.75608,13.387657,21.493194,2.811645,12.029091,22.455299,1.992001,11.175485,21.257239,-0.033276,11.607813,1.52515754,2.392488702,2.885606593,1.608709437,92.17226122,3.428352952,0.653738653,3.418296656,1.459865808,96.35585055,4.366004544,0.93269138,4.904295669,2.101224347,59.60871309
20.452409,5.859118,13.98315,21.049017,5.760346,14.338106,21.07217,5.801153,13.403157,21.420851,2.811441,12.090525,22.438951,2.007095,11.192186,21.240884,0.004965,11.599944,1.578135944,2.368576716,2.854709333,1.577310216,90.37321838,3.439291958,0.694215289,3.425759648,1.450124911,96.91396282,4.391271897,0.935839112,4.897316175,2.054813677,62.26784861
20.391607,5.911183,13.990849,20.993528,5.826884,14.311705,21.003027,5.872124,13.30335,21.378515,2.850198,12.081542,22.403194,2.07078,11.173867,21.209558,0.031582,11.680314,1.575224866,2.416523111,2.852039013,1.546258531,88.59408788,3.439939759,0.68209784,3.461483764,1.503285016,93.86811318,4.357168123,1.00936934,4.89431758,2.036595815,63.31165521
20.366671,5.991489,13.950864,20.923881,5.921961,14.29325,20.965596,5.970671,13.277519,21.324775,2.927741,12.069288,22.346261,2.035307,11.277507,21.216545,0.006223,11.684466,1.570601555,2.35776499,2.948740261,1.661279502,95.18430408,3.334347118,0.653996297,3.326501799,1.460521487,96.31828289,4.414423837,1.016898288,4.919429353,1.993075617,65.8051789
20.312796,6.052372,13.964019,20.850344,6.014832,14.229515,20.921465,5.966814,13.278652,21.234804,2.941982,12.104887,22.287554,2.061783,11.318536,21.207044,0.031206,11.674328,1.581575397,2.327516436,2.942578562,1.67148613,95.76910077,3.246439792,0.599538138,3.301249682,1.570650455,90.00835783,4.36936172,0.952074668,4.909215328,2.086456318,60.45485884
20.25437,6.107897,13.956518,20.829445,6.030849,14.299795,20.871215,6.005888,13.304816,21.187248,2.991863,12.10494,22.260469,2.098395,11.309465,21.179789,0.062181,11.679991,1.607130629,2.334807537,2.960350302,1.668153221,95.57813914,3.315102291,0.66973902,3.321343521,1.478981727,95.26058905,4.387473893,0.995292049,4.94027003,2.068007201,61.51191539
20.19782,6.178294,13.919699,20.787693,6.073993,14.279813,20.809673,6.071271,13.278135,21.144796,3.042237,12.081579,22.192509,2.178622,11.316569,21.160148,0.072802,11.705769,1.558452341,2.37733543,2.993161048,1.689635115,96.808961,3.279378447,0.691109434,3.279492339,1.465394056,96.03910529,4.358951412,1.001681698,4.894356978,2.040288827,63.10006125
20.132743,6.247221,13.894413,20.680446,6.166335,14.205412,20.724432,6.183823,13.202964,21.099655,3.112078,12.051637,22.156929,2.214049,11.332259,21.140608,0.122903,11.684719,1.562622508,2.351601161,3.011888635,1.720987047,98.60529436,3.230326641,0.62984042,3.265266005,1.52906892,92.39080429,4.388467023,1.00260053,4.886263684,1.99372652,65.76788492
20.057809,6.322172,13.846797,20.640375,6.203783,14.189223,20.675698,6.22506,13.197699,21.010044,3.167398,12.059766,22.111321,2.252566,11.331007,21.121468,0.174873,11.664698,1.606492546,2.325503569,3.020546293,1.723279458,98.73663987,3.21451098,0.675750479,3.247477615,1.514692904,93.21448934,4.389219475,0.991752264,4.876629418,1.988623231,66.06028181
20.000971,6.387606,13.778388,20.585205,6.24085,14.186873,20.597392,6.252303,13.245734,20.952724,3.247449,12.015519,22.041349,2.312515,11.315017,21.09308,0.125305,11.775493,1.596843457,2.427990903,3.134500829,1.749722604,100.2517206,3.219924259,0.712874016,3.198646443,1.429883815,98.07369219,4.387436338,0.941208685,4.866145575,2.014288492,64.58977069
19.915106,6.385218,13.88662,20.506739,6.350997,14.13988,20.53481,6.319742,13.272924,20.86299,3.264722,12.029283,21.960493,2.379129,11.29593,21.072226,0.142806,11.769808,1.589526476,2.452492443,3.139660251,1.740419621,99.71869888,3.193971242,0.643560591,3.300800305,1.638875714,86.09933841,4.408734069,0.867519211,4.885057524,2.07183649,61.29251328
19.857711,6.445345,13.888858,20.43055,6.425574,14.100841,20.457728,6.415482,13.191259,20.7944,3.346286,12.008413,21.883416,2.448919,11.296815,21.060782,0.198706,11.766683,1.580378149,2.441507973,3.168067648,1.776744903,101.7999842,3.158066089,0.610803825,3.289706318,1.694417087,82.91705218,4.395741132,0.909637985,4.865834646,2.027461416,63.83501774
19.776214,6.534414,13.879652,20.37357,6.466102,14.127822,20.389658,6.488978,13.175061,20.73617,3.398536,11.978491,21.804051,2.518205,11.277703,21.041094,0.228858,11.73848,1.551275707,2.456731266,3.193343475,1.803193072,103.3153527,3.188958169,0.646855888,3.298827291,1.642212766,85.90813944,4.400796019,0.953035589,4.869195933,1.992546274,65.835508
19.717513,6.618877,13.810547,20.296416,6.522088,14.119889,20.321373,6.517587,13.208353,20.617416,3.49821,11.954516,21.747175,2.524764,11.33634,20.98574,0.307201,11.760149,1.614340138,2.382642018,3.218070779,1.843629042,105.6321631,3.138924451,0.65636968,3.200191887,1.560496707,90.59012472,4.409883012,0.911547112,4.871010593,2.014148118,64.59781351
19.644943,6.680332,13.806437,20.215182,6.567264,14.140187,20.242998,6.606061,13.15731,20.537232,3.602443,11.902822,21.668649,2.573547,11.414473,20.918853,0.344075,11.746843,1.605371033,2.375543992,3.284345606,1.91398397,109.6632036,3.089026243,0.660728068,3.133189709,1.531156732,92.2711815,4.393022874,0.983642417,4.835213779,1.939293937,68.88664219
19.544252,6.783084,13.715582,20.12654,6.612787,14.176773,20.167859,6.690495,13.128296,20.451623,3.609959,12.016959,21.592072,2.658362,11.3954,20.909871,0.427492,11.672782,1.610123089,2.349280727,3.233658183,1.885947321,108.0568219,3.143854292,0.742803105,3.094642349,1.385875333,100.5951925,4.388738438,1.051352725,4.834616101,1.902721697,70.98207717
19.469432,6.851232,13.733915,20.022387,6.723567,14.098814,20.086436,6.706282,13.158195,20.337735,3.694827,11.974579,21.492026,2.722702,11.399949,20.812458,0.490141,11.696307,1.614810938,2.352439021,3.251585704,1.896529919,108.6631601,3.073062166,0.662503217,3.088411206,1.486129286,94.85106411,4.354347094,0.940777803,4.826053568,2.004827332,65.13185522
19.381105,6.896581,13.742814,19.944665,6.813344,14.041274,19.97368,6.804287,13.08723,20.277967,3.79925,11.953583,21.420277,2.788092,11.409063,20.742608,0.513252,11.760512,1.619819332,2.399510096,3.324296997,1.921338047,110.0845611,3.01760924,0.637713294,3.09913152,1.594695365,88.63068596,4.35270798,0.954086989,4.809489413,1.976088277,66.77848176
19.308466,6.948264,13.722776,19.87314,6.87534,14.06003,19.892388,6.873499,13.082239,20.148699,3.864788,11.93628,21.331645,2.899788,11.380658,20.681638,0.600801,11.730578,1.624592886,2.414600243,3.313600523,1.896498494,108.6613595,3.050618159,0.657721055,3.094958803,1.530889979,92.2864653,4.322702512,0.977792733,4.794168126,1.977265161,66.71105127
19.227252,7.003027,13.691065,19.742559,6.908471,14.105004,19.794063,6.995836,13.037165,20.0293,3.959568,11.922223,21.223365,2.98736,11.402818,20.601508,0.703081,11.734916,1.625041899,2.39059109,3.311678349,1.913590687,109.6406701,3.081330165,0.66097413,3.036534446,1.395363519,100.0515595,4.328853192,1.071406913,4.762029048,1.876309547,72.49538191
19.081974,7.140258,13.640706,19.630176,6.972309,14.106489,19.708378,7.028187,13.032184,19.948676,4.039697,11.898585,21.118495,3.083798,11.369386,20.497324,0.848103,11.670491,1.600709522,2.339839688,3.246430927,1.911377733,109.5138772,3.115578001,0.719360296,3.050624907,1.364539644,101.8176374,4.280549237,1.075757214,4.755234025,1.917783621,70.11909247
18.989944,7.170296,13.681001,19.524752,7.067692,14.057217,19.563407,7.091158,13.037492,19.849854,4.091941,11.898227,21.011852,3.162499,11.321716,20.385173,0.878489,11.697945,1.595765245,2.398119369,3.263886191,1.883636394,107.9244155,3.113588305,0.653879251,3.107143008,1.455691382,96.59502756,4.286985983,1.019994965,4.767965823,1.959554991,67.72576927
18.879497,7.22266,13.673303,19.412322,7.140036,14.038642,19.457394,7.141074,13.04768,19.724076,4.129608,11.959439,20.895586,3.253541,11.314276,20.225965,0.984563,11.722344,1.598800915,2.400660938,3.193652245,1.818231329,104.1769813,3.101973919,0.646045715,3.103163425,1.468324033,95.87122993,4.256477682,0.990962544,4.746263108,1.98917792,66.02850051
18.740066,7.272264,13.701942,19.321334,7.213767,14.012991,19.321254,7.232888,13.003845,19.616872,4.239113,11.899342,20.738517,3.36435,11.269998,20.103702,1.113506,11.664672,1.555432957,2.371720127,3.171985589,1.847706915,105.865808,3.087461458,0.659260167,3.147722672,1.556331089,90.82879706,4.23931736,1.009327133,4.726734797,1.973200096,66.94396237
18.605011,7.364055,13.665115,19.157824,7.232928,14.094456,19.225607,7.30116,12.99252,19.496236,4.339756,11.858704,20.613337,3.466018,11.22975,19.876371,1.250657,11.691543,1.551423821,2.379957147,3.116885954,1.795283057,102.8621422,3.213262915,0.699954218,3.156639987,1.380551958,100.9001994,4.220861551,1.104046446,4.732457228,1.939793584,68.85801449
18.500557,7.451039,13.606345,19.09195,7.336064,13.969178,19.096181,7.390742,12.983705,19.334006,4.448945,11.822776,20.488505,3.573768,11.182457,19.71899,1.406267,11.583381,1.583922708,2.334727816,3.076265928,1.775527409,101.7302269,3.117078729,0.693825242,3.13483178,1.485057244,94.91248761,4.22063797,0.986988712,4.681953131,1.956288969,67.91289857
18.368895,7.510836,13.648241,18.9279,7.369452,14.047616,18.982964,7.440285,12.959733,19.197914,4.57185,11.77153,20.360062,3.669153,11.158665,19.526579,1.514828,11.506576,1.594068178,2.335990621,3.086033832,1.777118825,101.8214083,3.224457454,0.687013086,3.187904434,1.410677296,99.17414466,4.179148538,1.09018656,4.694491513,1.951339486,68.19648307
18.241376,7.584897,13.650099,18.779548,7.457284,14.024102,18.831853,7.506425,12.933477,19.106507,4.644748,11.750653,20.218028,3.78242,11.09047,19.321064,1.619116,11.576023,1.554004539,2.391691939,3.038252679,1.718759267,98.47765198,3.267326341,0.655368099,3.234015112,1.41935779,98.67678902,4.155103855,1.091731528,4.702214598,1.98532776,66.24909843
18.100595,7.691057,13.584384,18.659423,7.557687,13.946793,18.6849,7.584754,12.949909,18.942797,4.708655,11.741973,20.055282,3.876315,11.048098,19.057389,1.67107,11.640232,1.553021335,2.491890572,3.041447877,1.652154517,94.66148093,3.217274476,0.666054815,3.202116166,1.444241765,97.25104229,4.167661802,0.997251389,4.685609086,2.01751285,64.40502856
17.953449,7.780232,13.536202,18.54247,7.62832,13.931039,18.561352,7.653374,12.958565,18.758123,4.790768,11.748747,19.903169,3.97688,11.020545,18.76117,1.87762,11.546668,1.582347045,2.447010354,2.920150078,1.575392734,90.26335472,3.2128612,0.709113528,3.182756387,1.417586938,98.77825136,4.156023298,0.972796682,4.66947421,2.030160501,63.68037158
17.800804,7.819345,13.546902,18.392946,7.686567,13.950555,18.391571,7.761786,12.842529,18.638214,4.844496,11.79029,19.740339,4.058226,10.970799,18.589484,1.940733,11.6519,1.582550324,2.504424566,2.907467277,1.530006421,87.66291054,3.270231447,0.716636514,3.224608919,1.397137144,99.94993822,4.149666236,1.110576208,4.695082985,1.970962415,67.07217203
17.682684,7.887292,13.524854,18.229502,7.777194,13.899903,18.272883,7.825319,12.85582,18.430879,4.97118,11.702234,19.564802,4.162047,10.949936,18.402398,2.072676,11.635556,1.583170825,2.487313615,2.899410727,1.534400812,87.91469061,3.238106143,0.66307743,3.189446797,1.394667773,100.0914228,4.129401357,1.045191526,4.666003979,2.004466248,65.15254383
17.507478,8.020554,13.441529,18.075501,7.856415,13.900304,18.114657,7.922876,12.797232,18.291882,5.052484,11.701591,19.401998,4.240907,10.907234,18.12525,2.104413,11.806714,1.588086208,2.646461097,2.954647135,1.475975413,84.56716181,3.273845188,0.730153839,3.164151889,1.308572011,105.0243466,4.138718178,1.105072351,4.693651683,1.984858467,66.2759869
17.343051,8.070099,13.506263,17.92285,7.942199,13.900655,17.939215,7.994477,12.808047,18.098933,5.089891,11.712106,19.212717,4.342109,10.89023,17.948339,2.253096,11.693963,1.573268215,2.570722423,2.840847337,1.445186376,82.80307995,3.275120694,0.701221741,3.215475021,1.378271264,101.0308736,4.125265331,1.093857957,4.692899604,2.006502301,65.03588656
17.18884,8.144267,13.453475,17.755685,8.007038,13.908518,17.794682,8.049904,12.820842,17.943687,5.194184,11.687038,18.999769,4.452315,10.816036,17.635227,2.360614,11.701853,1.557023856,2.649879186,2.8503484,1.409933681,80.78324933,3.333345155,0.726895719,3.19930435,1.276853607,106.8416772,4.118481967,1.08852036,4.711634592,2.039808968,63.12755511
17.007594,8.137567,13.565022,17.605697,8.111714,13.847136,17.657017,8.10317,12.873991,17.764094,5.263848,11.650563,18.843711,4.536427,10.724319,17.370225,2.534356,11.64405,1.59769901,2.65053851,2.757771163,1.335720431,76.5311433,3.359265497,0.66129835,3.382442782,1.507494108,93.62694998,4.16446219,0.973182507,4.747068901,2.121977488,58.41964571
16.835792,8.253122,13.504657,17.450789,8.17384,13.841481,17.46926,8.164983,12.886236,17.591046,5.351025,11.662855,18.615882,4.649391,10.708843,17.101336,2.680256,11.614026,1.566115575,2.643992908,2.715733272,1.31838917,75.53813522,3.34228403,0.701193067,3.314407388,1.425801299,98.30760316,4.135266302,0.95528606,4.715417436,2.134596382,57.69663634
16.674586,8.281762,13.553453,17.293555,8.272995,13.77815,17.300988,8.232594,12.872973,17.386527,5.433912,11.582647,18.40803,4.672064,10.715784,16.821147,2.830835,11.662694,1.541211282,2.608631909,2.664971282,1.309372727,75.02153106,3.258855634,0.658491735,3.325235849,1.571598321,89.95404911,4.16303234,0.906078166,4.727027563,2.160118463,56.23432882
16.531588,8.36582,13.494233,17.108882,8.307316,13.818958,17.113847,8.314591,12.803385,17.225629,5.578779,11.520561,18.216511,4.76069,10.663761,16.567086,2.980471,11.57334,1.544416715,2.591740048,2.680982836,1.329284573,76.16239579,3.343966224,0.662355409,3.29401537,1.396019754,100.01396,4.148277134,1.015599057,4.746980524,2.105558063,59.36040949
