fore-aft,lateral force,normal force
-0.00142,-0.02122,0.51663
0.08693,-0.05885,0.86449
0.08865,-0.03261,0.84974
0.19086,0.0256,1.30182
0.31736,0.03991,1.73519
0.27832,0.03602,1.63627
0.24232,0.07257,1.69625
0.35975,0.05355,1.92258
0.39811,0.07706,1.94091
0.40488,0.06721,1.90554
0.48813,0.08147,2.03032
0.57136,0.07078,2.72485
0.63421,0.0815,2.02092
0.62452,0.08626,1.74615
0.61121,0.05996,1.52837
0.81078,0.17,2.20944
1.33555,0.07503,3.99155
0.71021,-0.0173,1.99489
0.69949,-0.11244,1.49794
0.22642,-0.05387,1.29572
0.14635,0.00599,1.04199
0.04103,0.01593,1.09997
0.0279,-0.05394,0.96358
-0.00111,-0.05603,1.06779
-0.04558,-0.03696,1.08978
-0.08463,-0.04988,1.24757
-0.04125,-0.06359,1.32645
-0.04734,-0.06911,1.32048
-0.07815,-0.11482,1.24823
-0.08612,-0.12084,1.16293
-0.09136,-0.14146,1.07366
-0.09217,-0.13333,1.04015
-0.06098,-0.10859,1.02326
-0.0885,-0.13554,1.04101
-0.08267,-0.11799,1.01985
-0.04311,-0.13545,1.00433
-0.03784,-0.13789,1.02077
-0.04778,-0.11236,0.99159
-0.02555,-0.10583,0.99811
-0.02955,-0.08738,1.0074
-0.01909,-0.10349,1.01748
-0.03554,-0.09211,1.04404
-0.02253,-0.10311,1.05372
-0.00092,-0.12584,1.05377
0.00525,-0.07594,1.05424
-0.00103,-0.10993,1.07753
0.00462,-0.1212,1.07687
0.01961,-0.09719,1.06766
0.02542,-0.14277,1.0801
0.01445,-0.09092,1.09943
0.03849,-0.13998,1.18336
0.05511,-0.10638,1.22258
0.03764,-0.12165,1.19355
0.03553,-0.08809,1.2237
0.05371,-0.11545,1.24048
0.04213,-0.08538,1.2466
0.06284,-0.09117,1.22688
0.03737,-0.07538,1.20148
0.04712,-0.07945,1.18814
0.06607,-0.07246,1.15263
0.03919,-0.07506,1.12055
0.032,-0.05618,1.11016
0.04448,-0.09765,1.1034
0.04369,-0.09406,1.10171
0.03022,-0.06744,1.09911
-0.01413,-0.08228,1.10244
0.01939,-0.04587,1.12609
0.04394,-0.06713,1.13055
0.02056,-0.06999,1.13396
0.00201,-0.06836,1.1404
0.02086,-0.09596,1.14552
0.01141,-0.08272,1.14001
-0.01099,-0.06716,1.13361
0.00588,-0.06911,1.13248
0.00742,-0.08595,1.13531
0.01705,-0.0963,1.12372
0.01628,-0.09217,1.14489
0.01558,-0.07413,1.1312
0.0044,-0.11098,1.13366
-0.00255,-0.11075,1.12467
-0.0029,-0.0842,1.12986
0.00607,-0.08868,1.13836
0.01097,-0.12853,1.12725
-0.02639,-0.09011,1.13978
0.00772,-0.1006,1.14368
0.01639,-0.08471,1.133
-0.00135,-0.09336,1.12914
0.03316,-0.09602,1.13563
0.01858,-0.09519,1.13752
0.00955,-0.08561,1.12798
0.01518,-0.12162,1.12541
0.01409,-0.09953,1.12331
-0.02302,-0.11015,1.13485
-0.0036,-0.09442,1.13052
0.02614,-0.09526,1.12699
-0.0029,-0.10185,1.12553
0.00984,-0.10834,1.13399
-0.00715,-0.07774,1.123
0.03219,-0.08344,1.12943
-0.01621,-0.10326,1.12915
0.03259,-0.08405,1.1423
0.02491,-0.10922,1.13987
0.00052,-0.09221,1.13412
0.025,-0.09898,1.14154
0.01734,-0.09201,1.13304
-0.00901,-0.07596,1.12226
-0.01469,-0.0958,1.13487
0.00971,-0.09448,1.12433
-0.00036,-0.12101,1.11756
0.01067,-0.07432,1.13346
0.044,-0.09991,1.13262
0.01348,-0.09122,1.13361
0.00828,-0.04842,1.12643
-0.01202,-0.08493,1.14379
0.00778,-0.07901,1.13506
0.01816,-0.10727,1.13057
-0.00053,-0.09863,1.1394
0.01311,-0.07635,1.13073
0.00174,-0.06179,1.12926
0.00277,-0.10785,1.12804
-0.00925,-0.06426,1.13336
-0.00444,-0.11603,1.11013
0.02863,-0.06828,1.11556
0.00678,-0.08749,1.1475
0.00689,-0.10516,1.16008
-0.02722,-0.08075,1.1257
0.01491,-0.0753,1.14049
0.00792,-0.10172,1.13512
0.00158,-0.09229,1.13735
0.00631,-0.09485,1.14368
0.00549,-0.06845,1.13173
-0.00992,-0.09212,1.13981
-0.00182,-0.08624,1.14646
0.00271,-0.06727,1.14243
0.00869,-0.07798,1.14254
0.01018,-0.10925,1.13776
-0.00863,-0.11951,1.1442
0.00743,-0.06288,1.15072
0.00023,-0.08362,1.14635
0.02699,-0.08174,1.1361
0.00888,-0.07916,1.14219
-0.00454,-0.09774,1.13956
0.0086,-0.08165,1.14591
-0.02076,-0.0598,1.14984
-0.01623,-0.08038,1.14045
-0.00001,-0.07981,1.14228
0.02946,-0.12053,1.14361
-0.00735,-0.06331,1.13107
-0.00281,-0.08811,1.1441
-0.01013,-0.09351,1.14668
0.00829,-0.0704,1.14942
0.00642,-0.10962,1.12565
-0.01233,-0.09138,1.14104
0.01969,-0.11119,1.13429
0.00782,-0.09467,1.13063
-0.01114,-0.08446,1.12976
0.0038,-0.09856,1.12822
-0.00247,-0.08735,1.13184
-0.02604,-0.07546,1.13842
0.03299,-0.07004,1.15202
0.01937,-0.08418,1.1461
0.02476,-0.10236,1.1468
-0.00884,-0.11979,1.1278
0.01107,-0.08822,1.1444
0.01943,-0.11494,1.13363
-0.0073,-0.07992,1.143
0.01644,-0.10818,1.12947
-0.01747,-0.06537,1.13517
0.00226,-0.07127,1.13397